单词,音标,释义,词根
literalness,/'litərəlnis/,n. 文字，字义上；无修饰；表面意义上,-liter-
literalize,/'lɪtərəlaɪz/,vt. 拘泥于字句；照字面意义解释,-liter-
anti-illiteracy,/i'litərəsi/,n. 扫除文盲,-liter-
uniliteral,"/,ju:ni'litərəl/",adj. 单字母的,-liter-
biliteral,"/,bai'litərəl/",adj. 两个字母(组成)的,-liter-
trilateral,"/,trai'litərəl/",adj. 三个字母的(词),-liter-
transliteral,/træns'litəreit/,n. 按照字母直译，音译,-liter-
transliteration,"/,trænzlitə'reiʃən/",n. 按字母直译，音译,-liter-
sum,/sʌm/,n. 金额；总数 vi. 概括 vt. 总结；合计,-sum- = -sumpt-
summa,/'sʌmə/,n. 总结；总结性论文,-sum- = -sumpt-
summary,/'sʌm(ə)rɪ/,adj. 简易的；扼要的 n. 概要，摘要，总结,-sum- = -sumpt-
summarily,/sə'mɛərəli/,adv. 概要地；立刻；概略地,-sum- = -sumpt-
summation,/sʌ'meɪʃ(ə)n/,n. 和；[生理] 总和；合计,-sum- = -sumpt-
summative,/'sʌmətɪv/,adj. 总结性；总结的,-sum- = -sumpt-
summarize,/'sʌməraɪz/,vt. 总结；概述 vi. 作总结；作概括,-sum- = -sumpt-
summarization,"/,sʌmərɪ'zeʃən/",n. [图情] 摘要；概要,-sum- = -sumpt-
consume,/kən'sjuːm/,vt. 消耗，消费；使…着迷；挥霍 vi. 耗尽，毁灭；耗尽生命,-sum- = -sumpt-
consumer,/kən'sjuːmə/,n. 消费者；用户，顾客,-sum- = -sumpt-
consuming,/kən'sjuːmɪŋ/,adj. 消费的；强烈的,-sum- = -sumpt-
consumed,/kən'sʊmd/,adj. 充满的；对…着迷的,-sum- = -sumpt-
consumable,/kən'sjuːməb(ə)l/,n. 消费品；消耗品 adj. 可消耗的；可消费的,-sum- = -sumpt-
consumerism,/kən'sjuːmərɪz(ə)m/,n. 保护消费者利益运动；用户至上主义,-sum- = -sumpt-
consummate,/'kɒnsjʊmeɪt/,adj. 至上的；完美的；圆满的 vt. 完成；作成；使达到极点,-sum- = -sumpt-
consummation,/kɒnsə'meɪʃ(ə)n/,n. 圆满成功；完成；成就；达到极点,-sum- = -sumpt-
consummatory,/kən'sʌmətərɪ/,adj. 使完成的；(行为、反应等)完成性的，使满足的,-sum- = -sumpt-
consummately,/'kɑnsəmɪtli/,adv. 至上地；完成地,-sum- = -sumpt-
unconsummated,/ʌn'kɒnsəmeɪtɪd/,adj. 未实现的；未完成的,-sum- = -sumpt-
all-consuming,/ɔːl-kən'sjuːmɪŋ/,adj. 耗费时间（或精力）的；全身心投入的,-sum- = -sumpt-
time-consuming,"/taɪm-'taimkən,sju:miŋ/",adj. 耗时的；旷日持久的,-sum- = -sumpt-
energy-consuming,/'enədʒɪ-kən'sjuːmɪŋ/,adj. 能力消耗的；耗能的；费精力的,-sum- = -sumpt-
consumer-driven,/kən'sjuːmə-'drɪvn/,adj. 消费者驱动型的,-sum- = -sumpt-
consumer-friendly,/kən'sjuːmə-ˈfrendlɪ/,adj. 便于消费者使用的,-sum- = -sumpt-
pro-consumer,/prəu-kən'sjuːmə/,adj. 维护消费者权益的,-sum- = -sumpt-
consumption,/kən'sʌm(p)ʃ(ə)n/,n. 消费；消耗；肺痨,-sum- = -sumpt-
consumptive,/kən'sʌm(p)tɪv/,adj. 消耗性的；浪费的；肺病的 n. 肺病患者；痨病患者,-sum- = -sumpt-
overconsumption,/ˌəʊvəkənˈsʌmpʃən/,n. 过度消耗,-sum- = -sumpt-
nonconsumptive,"/,nɔnkən'sʌmptiv/",adj. 不消耗自然物产(或资源)的； 不利用自然物产(或资源)的,-sum- = -sumpt-
presume,/prɪ'zjuːm/,vt. 假定；推测；擅自；意味着 vi. 相信；擅自行为,-sum- = -sumpt-
presumed,/prɪ'zjuːmd/,adj. 假定的；推测的,-sum- = -sumpt-
presumable,/prɪ'zjuːməbl/,adj. 可能有的；可推测的,-sum- = -sumpt-
presumably,/prɪ'zjuːməblɪ/,adv. 大概；推测起来；可假定,-sum- = -sumpt-
presumption,/prɪ'zʌm(p)ʃ(ə)n/,n. 放肆，傲慢；推测,-sum- = -sumpt-
presumptive,/prɪ'zʌm(p)tɪv/,adj. 假定的；根据推定的,-sum- = -sumpt-
presumptively,/prɪ'zʌm(p)tɪvli/,adv. 假设地,-sum- = -sumpt-
presumptuous,/prɪ'zʌm(p)tʃʊəs/,adj. 专横的；放肆的；冒昧的,-sum- = -sumpt-
sumpter,/'sʌm(p)tə/,n. 赶驮马的人；拉货车的马或驴子,-sum- = -sumpt-
sumptuary,/'sʌm(p)tjʊərɪ/,adj. 限制费用的；禁止奢侈的,-sum- = -sumpt-
sumptuous,/'sʌm(p)tjʊəs/,adj. 华丽的，豪华的；奢侈的,-sum- = -sumpt-
sumptuously,/'sʌmptʃʊəsli/,adv. 豪华地，奢侈地,-sum- = -sumpt-
subsume,/səb'sjuːm/,vt. 把……归入；把……包括在内,-sum- = -sumpt-
subsumption,/səb'sʌmpʃən/,n. 包容；包含；类别；小前题,-sum- = -sumpt-
assume,/ə'sjuːm/,vi. 假定；设想；承担；采取 vt. 僭取；篡夺；夺取；擅用；侵占,-sum- = -sumpt-
assumed,/ə'sjuːmd/,adj. 假定的；假装的,-sum- = -sumpt-
assumption,/ə'sʌm(p)ʃ(ə)n/,n. 假定；设想；担任；采取,-sum- = -sumpt-
unassuming,/ʌnə'sjuːmɪŋ/,adj. 谦逊的；不装腔作势的；不出风头的,-sum- = -sumpt-
reassume,/riːə'sjuːm/,vt. 再假定；再采取；再承担,-sum- = -sumpt-
resume,/rɪˈzjuːm/,n. 摘要；[管理] 履历，简历 vt. 重新开始，继续；恢复，重新占用,-sum- = -sumpt-
resumption,/rɪ'zʊm(p)ʃ(ə)n/,n. 恢复；重新开始；取回；重获；恢复硬币支付,-sum- = -sumpt-
summon,/'sʌmən/,vt. 召唤；召集；鼓起；振作,-sum- = -sumpt-
summons,/'sʌm(ə)nz/,n. 召唤；传票；传唤；召集 vt. 唤出；传到；传唤到法院,-sum- = -sumpt-
summoning,/'sʌmənɪŋ/,n. 召唤,-sum- = -sumpt-
summiteer,"/,sʌmɪ'tɪə/",n. 最高级会谈参加者；首脑会议参加者；峰会参加者,-sum- = -sumpt-
summitry,/'sʌmɪtrɪ/,n. 最高级会议的举行,-sum- = -sumpt-
zero-sum,/'ziro'sʌm/,adj. 零和的,-sum- = -sumpt-
lump-sum,/'lʌmpsʌm/,adj. 一次总付的；总金额,-sum- = -sumpt-
respect,/rɪ'spekt/,vt. 尊重； 尊敬； 关心； 遵守 n. 尊重， 恭敬； 敬意,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
respecter,/rɪ'spektə(r)/,vt. 尊重；尊敬；关心；遵守 n. 尊重，恭敬，敬意,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
respectable,/rɪ'spektəb(ə)l/,adj. 可敬的；品行端正的；可观的，相当大的；体面的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
respectability,"/rɪ,spektə'bɪlɪtɪ/",n. 体面；可尊敬；有社会地位,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
respectably,/ri'spektəbli/,adv. 相当好地；体面地；可敬地,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
respectful,/ri'spektful/,adj. 尊敬人的，恭敬的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
respectfully,/rɪ'spektfʊlɪ/,adv. 尊敬地,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
respected,/ri'spektid/,adj. 受尊敬的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
respecting,/rɪ'spektɪŋ/,prep. 关于；就…而言；鉴于,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
respective,/rɪ'spektɪv/,adj. 分别的，各自的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
respectively,/rɪ'spektɪvlɪ/,adv. 分别地；各自地，独自地,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
irrespective,/ɪrɪ'spektɪv/,adj. 无关的；不考虑的；不顾的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
disrespect,/dɪsrɪ'spekt/,n. 无礼，失礼，不敬,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
disrespected,/dɪsrɪ'spekt/,adj. 不受尊敬的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
disrespectful,/dɪsrɪ'spek(t)f(ʊ)l/,adj. 无礼的；失礼的；不尊敬的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
disrespectfully,"/,disri'spektfəli/",adv. 无礼地；不恭地,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
self-respect,/'selfri'spekt/,n. 自重，自尊,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
well-respected,/wel-ri'spektid/,adj. 受人尊敬的；备受尊重的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
self-respecting,/'selfri'spektiŋ/,adj. 有自尊心的；自重的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
prospect,/'prɒspekt/,n. 视野，景象，景色,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
prospective,/prəu'spektiv/,adj. 盼望中的，未来的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
prospector,/prəʊ'spektə/,n. 探勘者；采矿者,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
prospectus,/prə'spektəs/,n. 内容说明书；样张；创办计划书；学校的入学简介,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
prospecting,/'prɑspɛkt/,n. 探矿；勘探；勘查,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
bioprospecting,/ˌbaɪəʊprəˈspektɪŋ/,n. 生物勘探,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
inspect,/in'spekt/,vt. 检查，检验；视察 vi. 进行检查；进行视察,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
inspection,/ɪn'spekʃn/,n. 检查；检验；视察；检阅,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
inspector,/in'spektə/,n. 检查员（英国公共汽车或火车上的）查票员； （警察）巡官；检阅官,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
inspectorate,/ɪn'spektərət/,n. 检查员；视察团；检查员的辖区,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
suspect,/ˈsʌspekt/,vt. 猜疑（是） ；怀疑，不信任；怀疑…有罪 n. 嫌疑犯,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
suspectable,/səs'pektəbl/,adj. 可疑的，有嫌疑的，值得怀疑的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
suspected,/sə'spektɪd/,adj. 有嫌疑的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
unsuspected,/ʌnsə'spektɪd/,adj. 不受怀疑的；未知的；无嫌疑的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
unsuspecting,/ʌnsə'spektɪŋ/,adj. 不怀疑的，无猜疑的；可信任的；未料到的，未猜想到的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
suspicion,/sə'spiʃən/,n. 怀疑，疑心，猜疑,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
suspicious,/sə'spiʃəs/,adj. 可疑的; 猜疑的，怀疑的; 多疑的，不信任的; 多心,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
suspiciously,/sə'spɪʃəsli/,adv. 猜疑地，疑心很深地；引起怀疑地；心怀鬼胎地，满腹狐疑地,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
suspiciousness,"/sə'spiʃəs,nis/",n. 疑心；[医]多疑，可疑（suspicious 的名词）,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
suspicious-looking,/sə'spiʃəs-'lʊkɪŋ/,n. 形迹可疑,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
perspective,/pə'spektiv/,adj. 透视， 透视的；n. 透视图， 透镜； 透视 （画） 法； 透视效果,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
perspectival,/pə'spektivəl/,adj. 透视法的，远近法的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
perspective-taking,/pə'spektiv-'teɪkɪŋ/,n. 观点采择,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
expect,/ik'spekt/,vt. 期望; 预料; 要求; 认为（某事）会发生 vi. 预期; 期待; 怀胎; 怀孕,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
expectation,"/,ekspek'teiʃən/",n. 期待；预期；前程；[数]期望值,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
expectancy,/ɪk'spekt(ə)nsɪ/,n. 期待，期望；期望的东西,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
expectant,/ik'spektənt/,adj. 期待的，预期的，期望的 n. [数]期望值；期待着；候选人,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
expectantly,/ɪks'pɛktəntli/,adv. 期望地，期待地,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
expected,/ɪk'spektɪd/,adj.（用作定语）预期要发生的，期待中的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
expectedly,/ɪk'spektɪdli/,adv. 预期地；意料之中地,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
expectable,/ɪk'spɛktəbl/,adj. 能预期的；意料中的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
unexpected,/ʌnɪk'spektɪd/,adj. 意外的，想不到的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
unexpectedly,/'ʌnik'spektidli/,adv. 出乎意料地，意外地,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
unexpectedness,"/,ʌnɪk'spɛktɪdnɪs/",n. 出乎意外，突然,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
long-expected,/lɒŋ-ɪk'spektɪd/,adj. 期待已久的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
expectancy-value,/ɪk'spekt(ə)nsɪ-'væljuː/,n. 期望价值,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
better-than-expected,/'betə-ð æn-ɪk'spektɪd/,adj. 好于预期的 比预期更好的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
lower-than-expected,/'ləʊə-ð æn-ɪk'spektɪd/,adj. 比预期低的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
higher-than-expected,/ˈhaɪə(r)-ð æn-ɪk'spektɪd/,adj. 高出预期的，比预期高的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
stronger-than-expected,/strɒŋgə(r)-ð æn-ɪk'spektɪd/,adj. 比期望强烈的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
aspect,/'æspekt/,n. 方面；面貌；方位，方向；形势,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
spectacle,/'spektək(ə)l/,n. 壮观的场面； 令人惊叹的表演眼镜；奇观， 壮观；光景， 景象；表演， 场面,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
circumspect,/'sə:kəmspekt/,adj. 谨慎的，小心的，慎重的，仔细的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
circumspection,"/,sə:kəm'spekʃən/",n. 谨慎，慎重,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
circumspectly,/'sɝkəmspɛktli/,adv. 慎重地；留心地,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
retrospect,/'retrəuspekt/,n. 回顾，回想 vt. & vi. 回顾；追溯,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
retrospection,"/,retrəu'spekʃən/",n. 回顾，追溯,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
retrospective,"/,retrəu'spektiv/",adj. 回顾的，追溯的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
retrospectively,"/,rɛtrə'spɛktɪvli/",adv. 回顾地,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
introspect,"/,intrəu'spekt/",v. 内省，内观,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
introspection,/ɪntrə(ʊ)'spekʃ(ə)n/,n. 内省；反省；自我反省,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
introspective,/ɪntrə'spektɪv/,adj. 内省的；反省的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
conspectus,/kən'spektəs/,n. 一览表，大纲，概况,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
conspicuous,/kən'spikjuəs/,adj. 明显的，显著的，惹人注目的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
conspicuously,/kəns'pikjuəsli/,adv. 显著地，明显地；超群地，惹人注目地,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
inconspicuous,/ɪnkən'spɪkjʊəs/,adj. 不显眼的；不引人注意的； （花）不显著的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
inconspicuously,"/,inkəns'pikjuəsli/",adv. 难以觉察地；不显著地,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
spectate,/'spekteit/,vi. 出席观看,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
spectator,/spek'teitə/,n. 旁观者，观众,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
spectatorial,/spek'teitəri'ɔl/,adj. 能吸引观众的；观看用的；运动的；华美的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
special,/'speʃəl/,adj. 特殊的，特别的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
specially,/'speʃəli/,adv. 特别地，专门地,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
speciality,"/,speʃi'æləti/",n. 特性，特质，特长，专业,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
specialness,/'speʃəlnis/,n. 专门，特殊,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
specialist,/'speʃəlist/,n. 专家；行家；专科医生,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
specialize,/'speʃəlaiz/,vi. 专门从事；专攻；详细说明；特化,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
specialized,/'spɛʃə'laɪzd/,adj. 专门的；专业的；专用的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
unspecialized,/'ʌn'spɛʃəlaɪzd/,adj. 非专门化的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
specialization,"/,speʃəlaɪ'zeɪʃən/",n. 专门化；特殊化；特化作用,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
especial,/i'speʃəl/,adj. 特别的，特殊的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
especially,/i'speʃəli/,adv. 特别地，尤其，格外,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
specialty,/'speʃ(ə)ltɪ/,n. 专业，专长；特点，特别事项；特性，特质； <律>盖印的契约,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
subspecialty,"/'sʌb,spɛʃəlti/",n. 附属专业,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
special-order,/'speʃəl-'ɔːdə/,n. 特种订货；特别指令,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
special-interest,/'speʃəl-'ɪnt(ə)rɪst/,adj. 小众化的；特殊兴趣的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
extra-special,"/,ekstrə'speʃəl/",adj. (报纸等)特别号外的，临时增刊的；特优的，非常好的；非常特别的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
specify,/'spesɪfaɪ/,vt. 指定；详述；提出…的条件；使具有特性 vi. 明确提出，详细说明,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
specific,/spi'sifik/,adj. 明确的；特种的；具体的；[免疫学]特效的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
specificity,"/,spesɪ'fɪsətɪ/",n. 特异性，特征，种别性; 种特性,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
specifically,/spi'sifikəli/,adv. 特有地，明确地；按种别地；按特性地,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
specification,"/,spesɪfɪ'keɪʃ(ə)n/",n. 规格；说明书；详述,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
specified,/ˈspesɪfaɪd/,adj. 规定的；详细说明的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
unspecific,/ʌnspɪ'sɪfɪk/,adj. 未指明的；非特定的；不具体的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
unspecified,/ʌn'spesɪfaɪd/,adj. 未指明的；未详细说明的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
intraspecific,"/,ɪntrəspə'sɪfɪk/",adj. [生物] 种内的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
specifiable,/'spesɪfaɪəbl/,adj. 可指明的；可列举的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
non-specific,/nɔn-spə'sɪfɪk/,adj. 不明确的；非确切的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
site-specific,/saɪt-spə'sɪfɪk/,n. 特定场地 adj. 位点专一的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
gender-specific,/'dʒendə-spə'sɪfɪk/,adj. 针对不同性别的；具体性别,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
domain-specific,/də(ʊ)'meɪn-spə'sɪfɪk/,n. 特定领域,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
age-specific,/'eidʒspi'sifik/,adj. (在作用或效果方面)限于特定年龄群(或年龄段)的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
industry-specific,/'ɪndəstrɪ-spə'sɪfɪk/,adj. 特定行业的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
culture-specific,/'kʌltʃə-spə'sɪfɪk/,adj. 文化特异性,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
species-specific,/'spi:ʃi:zspi'sifik/,adj. 种专一性，种特异的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
discipline-specific,/'dɪsɪplɪn-spə'sɪfɪk/,adj. 特定专业的；特定学科的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
context-specific,/'kɒntekst-spə'sɪfɪk/,adj. 上下文特定的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
subject-specific,/ˈsʌbdʒɪkt-spə'sɪfɪk/,adj. 特定个体的；特定科目的；特定主题的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
country-specific,/'kʌntrɪ-spə'sɪfɪk/,adj. 国别的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
sex-specific,/seks-spə'sɪfɪk/,adj. 分性别的；特定性别的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
race-specific,/reɪs-spə'sɪfɪk/,n. 小种特异,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
disease-specific,/dɪ'ziːz-spə'sɪfɪk/,n. 疾病特异性,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
region-specific,/'riːdʒ(ə)n-spə'sɪfɪk/,adj. 区域特异性的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
pre-specified,/pri-spə'sɪfɪk/,adj. 预先设定的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
tissue-specific,/'tɪʃu-spə'sɪfɪk/,adj. 组织特异的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
firm-specific,/fɜːm-spə'sɪfɪk/,adj. 公司特有的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
case-specific,/keɪs-spə'sɪfɪk/,adj. 特定案例的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
company-specific,/'kʌmp(ə)nɪ-spə'sɪfɪk/,adj. 特定公司的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
application-specific,/ˌæplɪ'keɪʃ(ə)n-spə'sɪfɪk/,n. 专用；特殊用途,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
cancer-specific,/'kænsə-spə'sɪfɪk/,n. 肿瘤特异性，特异性，癌特异性,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
frequency-specific,/'friːkw(ə)nsɪ-spə'sɪfɪk/,n. 频率特定 频率特性 频率特异性,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
spectacled,/'spektək(ə)ld/,adj. 戴了眼镜的；有眼镜状斑纹的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
spectacular,/spek'tækjʊlə/,adj. 壮观的，惊人的；公开展示的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
spectacularly,/spekˈtækjʊlə(r)li/,adv. 壮观地；引人注目地,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
unspectacular,/ʌnspek'tækjʊlə/,adj. 不引人注意的；普通的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
bespectacled,/bɪ'spektək(ə)ld/,adj. 戴眼镜的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
spec,/spek/,n. 投机；说明书；细则 adj.（尤指地产开发中）投机性建房的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
speculate,/'spekjuleit/,vt. 思索，猜测，推测 vi. 投机；推测；思索,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
speculation,"/,spekju'leiʃən/",n. 思索，沉思，推测，投机,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
speculator,/'spekjuleitə/,n. 投机倒把者， 投机商人； 思辨者， 思索者； 〈美〉 垄断收买 （戏票） 的人,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
speculative,/'spekjʊlətɪv/,adj. 投机的；思考的；推理的，揣摩的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
speculatively,/'spekjʊlətɪvli/,adv. 投机地；推测地；思索性地,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
speculum,/'spekjʊləm/,n. 金属镜；反射镜；[医] 窥器,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
specular,/'spekjʊlə/,adj. 镜的；窥器的；用窥器（检查）的；镜子似的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
specie,/'spiːʃiː/,n. 硬币；铸币,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
species,/'spiːʃiːz/,n. [生物] 物种；种类 adj. 物种上的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
speciation,"/,spiːʃɪ'eɪʃ(ə)n/",n. [进化] 物种形成,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
subspecies,/'sʌbspiːʃiːz/,n. [生物]亚种,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
species-rich,/'spi:ʃi:z'ritʃ/,adj.物种丰富的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
single-species,/'sɪŋg(ə)l-'spiːʃiːz/,n. 单一种,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
cross-species,/krɒs-'spiːʃiːz/,n. 跨种,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
endangered-species,/ɪn'deɪndʒəd-'spiːʃiːz/,n. 濒临绝种的动植物,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
spectrum,/'spektrəm/,n. 光谱；频谱；范围；余象,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
broad-spectrum,/'brɔ:'spektrəm/,adj. 广谱的；用途广泛的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
full-spectrum,/'fʊl:'spektrəm/,n. 全波段光谱,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
spectre,/'spektə/,n. 幽灵；妖怪；鬼性（等于 specter）,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
spectral,/'spektr(ə)l/,adj. [光] 光谱的；幽灵的；鬼怪的,-spect- = -speci- = -spec- = -spic- = -spi- = -spy-
